siteId,col,row
invert-346,5747,3143
invert-347,5769,2485
invert-348,5739,2645
invert-349,5720,2802
invert-35,2865,6893
invert-350,8992,5400
invert-351,7889,4259
invert-352,8233,3962
invert-353,8984,5412
invert-354,8103,4054
invert-355,9244,5296
invert-356,8002,4413
invert-357,12463,3564
invert-358,14024,3141
invert-359,2840,8154
invert-36,3066,6894
invert-360,2749,7353
invert-361,2798,7775
invert-362,5111,8241
invert-363,12143,3869
invert-364,3847,8446
invert-365,14668,3735
invert-366,16269,5218
invert-367,2763,7429
invert-368,15878,4516
invert-369,5616,8091
invert-37,5943,1022
invert-370,3282,8510
invert-371,3284,8511
invert-372,3036,8388
invert-373,2888,8076
invert-374,2959,8309
invert-375,5191,8227
invert-376,3419,8481
invert-377,9863,4562
invert-378,5078,8324
invert-379,2915,8208
invert-38,3231,6989
invert-380,2977,8233
invert-381,5006,8278
invert-382,6219,7895
invert-383,2790,7893
invert-384,3097,8489
invert-385,5185,8160
invert-386,6123,7929
invert-387,6564,7748
invert-388,10771,4934
invert-389,6626,7615
invert-39,4547,2797
invert-390,16274,5411
invert-391,2796,6957
invert-392,13080,3577
invert-393,14349,3095
invert-394,12267,3695
invert-395,11323,4322
invert-396,10161,4670
invert-397,10246,6600
invert-398,10553,5920
invert-399,11470,5768
invert-4,4715,9635
invert-40,4608,2631
invert-400,11619,5697
invert-401,10392,5843
invert-402,11364,5918
invert-403,13881,6445
invert-404,270,5388
invert-405,13479,3764
invert-406,6606,7130
invert-407,6570,7423
invert-408,9897,5612
invert-409,11370,6179
invert-41,4507,2986
invert-410,2444,3457
invert-411,2151,6818
invert-412,2165,6827
invert-413,3426,2188
invert-414,9651,2518
invert-415,9811,2451
invert-416,10823,3833
invert-417,8507,4201
invert-418,2576,6177
invert-419,4232,3139
invert-42,4426,3088
invert-420,3928,8068
invert-421,3819,8390
invert-422,4023,8522
invert-423,5651,8751
invert-424,5634,9380
invert-425,5586,8615
invert-426,5608,8538
invert-427,1919,3325
invert-428,7580,4203
invert-429,7134,6093
invert-43,4610,2292
invert-430,8532,5656
invert-431,10131,4442
invert-432,12381,4274
invert-433,10343,7127
invert-434,11910,8478
invert-435,8706,7554
invert-436,9612,9695
invert-437,8501,10590
invert-438,7939,11603
invert-439,7868,8604
invert-44,6753,1173
invert-45,5395,1958
invert-46,5199,8029
invert-47,5081,6565
invert-48,5230,6401
invert-49,5148,7771
invert-5,4831,8801
invert-50,5132,7610
invert-51,5265,8101
invert-52,6027,5732
invert-53,5694,5609
invert-54,5212,8098
invert-55,5011,6700
invert-56,5708,5289
invert-57,4548,7310
invert-58,4549,7307
invert-59,4599,7940
invert-6,4546,8591
invert-60,13247,4831
invert-61,12894,5510
invert-62,13235,6030
invert-63,12382,4279
invert-64,12298,4118
invert-65,12892,5396
invert-66,11618,5933
invert-67,11637,5936
invert-68,11657,5935
invert-69,7020,6028
invert-7,4525,8554
invert-70,5386,6054
invert-71,9540,2847
invert-72,3700,4871
invert-73,3881,4886
invert-74,4979,4942
invert-75,5484,4387
invert-76,3951,4923
invert-77,4513,5138
invert-78,5301,4584
invert-79,5139,4755
invert-8,9447,3473
invert-80,4548,5239
invert-81,3899,4908
invert-82,4725,3901
invert-83,2873,6395
invert-84,5047,3859
invert-85,4410,4174
invert-86,3291,5567
invert-87,3202,5776
invert-88,4480,4106
invert-89,3197,5760
invert-9,10270,4155
invert-90,3501,5059
invert-91,3233,5701
invert-92,3136,6019
invert-93,4096,4420
invert-94,2830,6461
invert-95,2996,6200
invert-96,3785,4632
invert-97,2994,6256
invert-98,4568,4038
invert-99,3616,4911
sjrbc-1,10362,11471
sjrbc-10,9238,11201
sjrbc-11,9386,10449
sjrbc-12,9389,10576
sjrbc-13,9145,10551
sjrbc-14,9045,10674
sjrbc-15,9205,10897
sjrbc-16,8562,10830
sjrbc-17,8691,11460
sjrbc-18,8199,10915
sjrbc-19,8103,10324
sjrbc-2,9991,11442
sjrbc-20,7328,10617
sjrbc-21,7123,10245
sjrbc-22,6814,10304
sjrbc-23,6391,10750
sjrbc-24,5993,11226
sjrbc-25,6068,11223
sjrbc-26,6109,11222
sjrbc-27,6197,11218
sjrbc-28,6207,11782
sjrbc-29,6360,11346
sjrbc-3,11272,10870
sjrbc-30,6748,10980
sjrbc-31,6158,10049
sjrbc-32,6312,10404
sjrbc-33,5855,10976
sjrbc-34,5210,10877
sjrbc-35,4716,10036
sjrbc-36,4779,9857
sjrbc-37,4549,9855
sjrbc-38,4377,9443
sjrbc-39,4539,9355
sjrbc-4,11116,10847
sjrbc-40,4674,9314
sjrbc-41,4836,9390
sjrbc-42,4861,9291
sjrbc-43,4696,8986
sjrbc-44,4968,8901
sjrbc-45,4501,8473
sjrbc-46,3992,8504
sjrbc-47,3902,8500
sjrbc-48,3063,8463
sjrbc-49,3018,8585
sjrbc-5,11020,10701
sjrbc-50,2687,9169
sjrbc-6,10695,11888
sjrbc-7,10146,10446
sjrbc-8,10354,10973
sjrbc-9,9426,12197
steuben-1,14872,8807
steuben-10,11909,8478
steuben-2,14890,8538
steuben-3,14070,8681
steuben-4,13197,8404
steuben-5,13055,8279
steuben-6,13147,8228
steuben-7,13579,9051
steuben-8,13308,9274
steuben-9,12229,9694
invert-440,5286,8213
invert-441,5386,7754
lagrange-1,9607,9669
lagrange-2,8709,7553
lagrange-3,11087,8360
lagrange-5,10323,9867
lagrange-6,11554,9264
lagrange-7,8369,8268
lagrange-8,10152,7896
lagrange-9,8462,8910
